loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1538158452.162021,19,0,73067.45206550001,-0.0517730712890625,-0.382568359375,-0.6987152099609375,73067.4481005,-1.572190225309444,-1.691977080612336,0.0647789966711964,2
1538158452.16253,20,0,73067.46186350001,-0.0499725341796875,-0.4462890625,-0.6269989013671875,,,,,2
1538158452.198797,21,0,73067.47169050001,-0.0548095703125,-0.5008544921875,-0.554107666015625,73067.4680885,-1.716261913960551,-1.716816916731723,-0.8442926393240056,2
1538158452.199565,22,0,73067.48146350001,-0.0796356201171875,-0.548980712890625,-0.5453033447265625,73067.4781185,-1.266510464861277,-1.398548127494643,-1.184088292284415,2
1538158452.199948,23,0,73067.4912955,-0.147613525390625,-0.6155242919921875,-0.6368408203125,,,,,2
1538158452.209883,24,0,73067.50109650001,-0.1282196044921875,-0.6192169189453125,-0.7498626708984375,73067.4981155,0.2878509622145226,-0.1289832831791537,-1.626251063857508,2
1538158452.220983,25,0,73067.51087750001,-0.03228759765625,-0.582366943359375,-0.7595367431640625,73067.50813850001,1.51370028355247,0.4341386672086841,-1.821418161182874,2
1538158452.22176,26,0,73067.5206995,0.06842041015625,-0.6165313720703125,-0.744476318359375,,,,,2
1538158452.232266,27,0,73067.5304955,0.2261505126953125,-0.60833740234375,-0.653717041015625,73067.52813250001,3.559866071236548,1.475135314123141,-1.188155471901184,2
1538158452.279939,28,0,73067.5402895,0.293487548828125,-0.645477294921875,-0.6000518798828125,73067.53815750001,3.738501862411357,1.916316178202322,-0.4736408030256115,2
1538158452.280593,29,0,73067.5501125,0.2255859375,-0.7535858154296875,-0.5879974365234375,,,,,2
1538158452.281162,30,0,73067.55990550001,0.17950439453125,-0.7489471435546875,-0.57342529296875,73067.54814150001,3.269660874618395,2.430266321171264,0.1463212608238966,2
1538158452.28189,31,0,73067.5697185,0.19146728515625,-0.668670654296875,-0.5943756103515625,73067.55814550001,2.534137859483733,2.522153101946159,0.533380832598269,2
1538158452.282471,32,0,73067.5795065,0.1784820556640625,-0.651885986328125,-0.6356201171875,73067.56817550001,1.716882430494539,2.050128837702225,0.7384453017988063,2
1538158452.289875,33,0,73067.58930250001,0.141448974609375,-0.658538818359375,-0.720458984375,73067.57818350001,0.8474519473251666,1.328088075586089,0.9853403085573272,2
1538158452.301479,34,0,73067.59911750001,0.1284027099609375,-0.636962890625,-0.7456817626953125,73067.58818750001,-0.07863675540342371,0.4345938014389786,1.278757277450115,2
1538158452.308794,35,0,73067.60892150001,0.0977020263671875,-0.6099853515625,-0.698699951171875,73067.59817550001,-1.054583029531605,-0.6970802847993686,1.511654443203071,2
1538158452.318703,36,0,73067.61872550001,0.0089874267578125,-0.646881103515625,-0.7908782958984375,73067.6082035,-1.960741699926479,-1.660732608387417,1.670487767460378,2
1538158452.356839,37,0,73067.6285285,0.0501251220703125,-0.5683746337890625,-0.87005615234375,73067.61820750001,-2.698548109379775,-2.090562280952354,1.731145788660786,2
1538158452.357584,38,0,73067.63833250001,0.0879058837890625,-0.3365631103515625,-0.8195648193359375,73067.6281875,-2.753525341658935,-1.933684249567383,1.58769648075643,2
1538158452.358317,39,0,73067.6481355,0.030548095703125,-0.238677978515625,-0.9125518798828125,73067.6382225,-2.084971240559841,-1.714746841616405,1.309490689061848,2
1538158452.360163,40,0,73067.65793650001,0.016021728515625,-0.2934417724609375,-0.809478759765625,73067.64822650001,-1.036151824259385,-1.36229558083983,0.9148477660834748,2
1538158452.367972,41,0,73067.6677545,-0.0031585693359375,-0.3948211669921875,-0.477142333984375,73067.65823650001,0.1366297513009892,-1.023252270887368,0.5727189176920473,2
1538158452.377756,42,0,73067.6775585,0.0116119384765625,-0.4932861328125,-0.12274169921875,73067.66824150001,1.213890130146837,-0.2318473476512463,0.3849689903186602,2
1538158452.389746,43,0,73067.6873605,0.050445556640625,-0.5674285888671875,0.0135498046875,73067.67824550001,1.735392997967244,1.373318670907777,0.3931776517466114,2
1538158452.397414,44,0,73067.69716350001,0.1085357666015625,-0.7078399658203125,-0.2690582275390625,73067.6882455,1.708841814531372,3.249911404606586,0.5833835462772696,2
1538158452.407066,45,0,73067.7069475,0.0202789306640625,-0.81866455078125,-0.39385986328125,73067.6982595,1.425144850985155,4.20629835842479,0.9696484307823624,2
1538158452.437015,46,0,73067.71676750001,-0.205780029296875,-0.837738037109375,-0.4105224609375,73067.70826350001,1.113543818169306,4.318737552280154,1.430155055943921,2
1538158452.43829,47,0,73067.72657350001,-0.2068023681640625,-0.7396087646484375,-0.5054168701171875,73067.7182435,0.8800857906907795,4.235465298683338,1.720326164100121,2
1538158452.439031,48,0,73067.7363665,0.0322265625,-0.4876556396484375,-0.4457855224609375,73067.7382585,0.7358899987328753,2.771549083284373,0.2957174074423986,2
1538158452.446514,49,0,73067.74618050001,0.017181396484375,-0.28271484375,-0.2829132080078125,,,,,2
1538158452.456466,50,0,73067.7559815,0.138397216796875,0.0815582275390625,-0.1905975341796875,73067.74827350001,0.9370481432464844,2.645556796325487,-1.722472671938724,2
1538158452.467644,51,0,73067.7657555,-0.0125885009765625,-0.0024871826171875,-0.086761474609375,73067.76830150001,1.589714357914384,5.783421290705279,-4.802574800171351,2
1538158452.4758,52,0,73067.77558850001,-0.000640869140625,-0.1515045166015625,0.113128662109375,,,,,2
1538158452.485537,53,0,73067.7853785,0.248077392578125,-0.0634002685546875,0.41473388671875,73067.77830250001,2.253419375300661,6.541750552150943,-5.039065635499259,2
1538158452.516784,54,0,73067.79516950001,0.4812164306640625,0.0710601806640625,0.542449951171875,73067.78831650001,3.201727896268218,7.627764208867664,-4.670977890698394,2
1538158452.517644,55,0,73067.8049995,0.6931915283203125,0.2449188232421875,0.488372802734375,73067.79832050001,4.337073949017567,8.586475569685289,-4.165766910846547,2
1538158452.524784,56,0,73067.8147995,0.78643798828125,0.3145751953125,0.19830322265625,73067.8083015,5.54314823399724,8.892373709342843,-3.927689364141169,2
1538158452.528522,57,0,73067.82459650001,0.80633544921875,0.2521820068359375,-0.1015777587890625,73067.82834050001,7.716812326236644,8.04389271657247,-4.830256229173853,2
1538158452.535237,58,0,73067.8343975,0.776702880859375,0.2410888671875,-0.2726593017578125,,,,,2
1538158452.5427,59,0,73067.84419650001,0.7035980224609375,0.4029083251953125,-0.347137451171875,,,,,2
1538158452.553825,60,0,73067.85399250001,0.7874603271484375,0.588897705078125,-0.3331146240234375,73067.83834250001,8.206761528829574,7.111439591470808,-5.620531173159454,2
1538158452.564136,61,0,73067.8638145,0.9619140625,0.6644287109375,-0.201690673828125,73067.85832850001,7.896328025835615,4.677936197994553,-6.787045798042654,2
1538158452.59727,62,0,73067.87361750001,1.109344482421875,0.649200439453125,-0.0579986572265625,,,,,2
1538158452.598005,63,0,73067.88342150001,1.297988891601562,0.6041259765625,-0.0494537353515625,73067.8683665,7.345557017635238,3.169648256725451,-7.367374698549603,2
1538158452.599079,64,0,73067.8932245,1.572021484375,0.4889984130859375,-0.0027618408203125,73067.88836750001,5.837847248638792,0.6625097906890499,-8.66281241917132,2
