loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1537844486.325698,62,0,2586.808304125,0.0658721923828125,-0.4085540771484375,-0.7098541259765625,2586.799357125,-0.1211759601274774,0.6413531063572424,0.04508412146173341,0
1537844486.326286,63,0,2586.818111125,0.07391357421875,-0.4122772216796875,-0.7093505859375,2586.819370125,-0.3160783392404904,0.2254166125670319,0.03235847250889878,0
1537844486.326655,64,0,2586.827898125,0.0854949951171875,-0.41009521484375,-0.7033843994140625,,,,,0
1537844486.327012,65,0,2586.837712125,0.09698486328125,-0.4120025634765625,-0.688873291015625,2586.829379125,-0.4644686099152696,-0.04303588426735346,0.02219851295024648,0
1537844486.327445,66,0,2586.847511125,0.0948028564453125,-0.4271240234375,-0.6842803955078125,2586.849391125,-0.9336238507168605,-0.1649189136642469,0.006584133163002901,0
1537844486.328046,67,0,2586.857305125,0.1068572998046875,-0.431304931640625,-0.6632232666015625,,,,,0
1537844486.328445,68,0,2586.867113125,0.121734619140625,-0.426025390625,-0.65478515625,2586.859399125,-1.242468511804478,0.2492407190466628,0.02481373714070429,0
1537844486.32889,69,0,2586.876913125,0.1303558349609375,-0.410064697265625,-0.6811981201171875,2586.879386125,-1.586432810819188,1.173146961261933,0.2114616484550167,0
1537844486.329278,70,0,2586.886725125,0.1357574462890625,-0.39691162109375,-0.74676513671875,2586.889420125,-1.577950642747285,1.529593762621954,0.3250081846916351,0
1537844486.329503,71,0,2586.896529125,0.147674560546875,-0.3762054443359375,-0.8495330810546875,,,,,0
1537844486.329882,72,0,2586.906330125,0.155120849609375,-0.3494873046875,-0.969482421875,2586.909433125,-1.217859838067709,1.769890255147585,0.5272036304498301,0
1537844486.330145,73,0,2586.916124125,0.1639556884765625,-0.3280792236328125,-1.08770751953125,,,,,0
1537844486.330446,74,0,2586.925930125,0.1598052978515625,-0.3220367431640625,-1.197799682617188,2586.919443125,-0.9128495963175884,1.562470486278982,0.6107328790918384,0
1537844486.330907,75,0,2586.935732125,0.1649017333984375,-0.29498291015625,-1.286300659179688,2586.939454125,-0.2829763121552415,0.5989422659977306,0.6446695408627181,0
1537844486.331143,76,0,2586.945513125,0.166412353515625,-0.26953125,-1.34967041015625,,,,,0
1537844486.331484,77,0,2586.955335125,0.1612701416015625,-0.24749755859375,-1.381057739257812,2586.949435125,-0.05652026781475167,0.09430333314803285,0.5879178443492385,0
1537844486.331904,78,0,2586.965136125,0.1309051513671875,-0.2437591552734375,-1.381881713867188,2586.969474125,0.1162949184815802,-0.4549555321853975,0.3998984050735354,0
1537844486.332174,79,0,2586.974936125,0.086456298828125,-0.2764739990234375,-1.359329223632812,,,,,0
1537844486.334552,80,0,2586.984737125,0.03875732421875,-0.3334503173828125,-1.34503173828125,2586.979456125,0.04543033240344371,-0.5714821456818145,0.295630854706971,0
1537844486.36214,81,0,2586.994519125,-0.0035247802734375,-0.3847198486328125,-1.343551635742188,2586.999494125,-0.2813384680848428,-0.7039456477734838,0.05034839198849304,0
1537844486.363097,82,0,2587.004338125,-0.0308685302734375,-0.424652099609375,-1.340911865234375,,,,,0
1537844486.363542,83,0,2587.014139125,-0.044921875,-0.46343994140625,-1.343521118164062,2587.009485125,-0.4533131607411456,-0.747342923000761,-0.07042143607274728,0
1537844486.377002,84,0,2587.023943125,-0.056732177734375,-0.485809326171875,-1.329132080078125,2587.029501125,-0.5487528647263152,-0.781154948832625,-0.1819548888413748,0
1537844486.382972,85,0,2587.033743125,-0.072052001953125,-0.4974365234375,-1.315994262695312,,,,,0
